question_1;question_2;question_3;question_4;question_5;question_6;question_7;question_8;question_9;question_10;question_11;question_12;question_13;question_14;question_15;question_16;question_17;question_18;question_19;question_20;question_21;question_22;question_23;question_24;question_25;question_26;question_27;question_28;question_29;question_30;question_31;question_32;question_33;question_34;question_35;question_36;question_37;question_38;question_39;question_40;question_41;question_42;question_43;question_44;question_45;question_46;question_47;question_48;question_49;question_50;question_51;question_52;question_53;question_54;class
2;2;4;1;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;2;1;2;0;1;2;1;3;3;2;1;1;2;3;2;1;3;3;3;2;3;2;1;1
4;4;4;4;4;0;0;4;4;4;4;3;4;0;4;4;4;4;3;2;1;1;0;2;2;1;2;0;1;1;0;4;2;3;0;2;3;4;2;4;2;2;3;4;2;2;2;3;4;4;4;4;2;2;1
2;2;2;2;1;3;2;1;1;2;3;4;2;3;3;3;3;3;3;2;1;0;1;2;2;2;2;2;3;2;3;3;1;1;1;1;2;1;3;3;3;3;2;3;2;3;2;3;1;1;1;2;2;2;1
3;2;3;2;3;3;3;3;3;3;4;3;3;4;3;3;3;3;3;4;1;1;1;1;2;1;1;1;1;3;2;3;2;2;1;1;3;3;4;4;2;2;3;2;3;2;2;3;3;3;3;2;2;2;1
2;2;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;2;1;1;0;0;0;0;2;1;2;1;1;1;1;1;1;0;0;0;0;2;1;0;2;3;0;2;2;1;2;3;2;2;2;1;0;1
0;0;1;0;0;2;0;0;0;1;0;2;1;0;2;0;2;1;0;1;0;0;0;0;2;2;0;0;0;0;4;1;1;1;1;1;1;2;0;2;2;1;2;3;0;2;2;1;2;1;1;1;2;0;1
3;3;3;2;1;3;4;3;2;2;2;2;2;3;2;3;3;3;3;2;3;3;3;3;2;3;3;2;2;2;1;2;2;1;1;2;3;2;2;3;3;3;3;4;3;3;2;3;2;3;3;2;2;2;1
2;1;2;2;2;1;0;3;3;2;4;3;2;3;4;3;2;3;2;1;2;1;1;2;3;3;2;2;2;3;1;1;0;2;2;1;4;4;4;4;4;4;3;2;0;0;1;2;2;2;1;1;1;0;1
2;2;1;0;0;4;1;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;3;2;3;2;3;2;3;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1
1;1;1;1;1;2;0;2;2;2;3;0;0;2;1;0;1;2;1;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;2;2;1;2;3;2;2;2;0;2;2;2;2;4;3;3;1
4;4;4;3;4;0;0;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;4;4;3;4;0;0;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;4;3;4;3;0;1;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;4;3;4;3;0;1;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;4;3;4;3;0;1;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;1
4;4;3;2;4;0;0;4;3;2;4;4;4;4;3;2;4;4;4;4;3;2;4;4;4;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;4;3;2;4;0;0;4;3;2;4;4;4;4;3;2;4;4;4;4;3;2;4;4;4;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;4;4;3;4;0;0;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
3;3;4;4;3;1;1;3;4;4;3;3;3;3;4;4;3;3;3;3;4;4;3;3;3;3;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;4;4;3;4;0;0;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
4;3;3;3;4;1;0;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;3;3;3;4;1;0;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;4;4;4;3;0;1;4;4;4;3;4;3;4;4;4;3;4;3;4;4;4;3;4;3;4;4;4;3;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;4;3;4;4;3;4;3;4;1
3;3;3;4;3;1;1;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;2;3;4;4;2;0;2;3;4;4;2;4;2;3;4;4;2;4;2;3;4;4;2;4;2;3;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;3;3;4;3;1;1;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;3;4;3;3;1;1;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
3;3;3;4;3;1;1;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
3;4;3;2;3;0;1;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;3;3;2;4;1;0;3;3;2;4;3;4;3;3;2;4;3;4;3;3;2;4;3;4;3;3;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;4;3;2;3;0;1;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;3;4;3;4;1;0;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
4;3;3;4;4;1;0;3;3;4;4;3;4;3;3;4;4;3;4;3;3;4;4;3;4;3;3;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
3;4;2;3;3;0;1;4;2;3;3;4;3;4;2;3;3;4;3;4;2;3;3;4;3;4;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
3;4;4;3;3;0;1;4;4;3;3;4;3;4;4;3;3;4;3;4;4;3;3;4;3;4;4;3;3;4;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;3;3;3;4;1;0;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;4;3;4;3;4;4;3;4;4;4;4;3;4;4;3;4;4;3;3;4;4;3;1
3;3;2;3;3;1;1;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;4;4;3;3;4;4;1
3;3;2;3;3;1;1;3;3;3;4;3;3;3;3;3;3;3;4;3;3;3;3;4;3;3;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;3;4;4;4;4;3;3;4;4;1
4;3;3;3;4;1;0;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
3;2;3;4;3;2;1;2;3;4;3;2;3;2;3;4;3;2;3;2;3;4;3;2;3;2;3;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
4;2;3;2;4;2;0;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;4;3;3;3;0;1;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;4;3;4;3;1
3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;2;3;2;4;2;0;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;3;2;3;3;1;1;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;3;2;3;3;1;1;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;2;3;2;4;2;0;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
4;2;3;2;4;2;0;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;2;3;2;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;1
4;3;2;3;4;1;0;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
3;3;3;4;3;1;1;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;3;3;4;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;4;3;4;3;1
4;3;3;2;4;1;0;3;3;2;4;3;4;3;3;2;4;3;4;3;3;2;4;3;4;3;3;2;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;4;3;4;4;3;4;3;4;1
4;3;2;3;4;1;0;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;4;3;2;3;4;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;4;3;4;3;1
3;4;3;4;3;0;1;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
3;4;3;4;3;0;1;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
3;2;3;2;3;2;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;2;3;2;3;2;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;2;2;3;3;2;1;2;2;3;3;2;3;2;2;3;3;2;3;2;2;3;3;2;3;2;2;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;2;3;2;3;2;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;2;3;2;3;2;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1
3;3;4;4;3;1;1;3;4;4;3;3;3;3;4;4;3;3;3;3;4;4;3;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
3;3;2;3;3;1;1;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
4;2;2;3;4;2;0;2;2;3;4;2;4;2;2;3;4;2;4;2;2;3;4;2;4;2;2;3;4;2;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;3;4;1
3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;3;4;3;4;4;3;4;3;4;1
4;4;4;3;4;2;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;3;0;4;0;4;4;0;4;4;0;4;4;0;1;0;2;0;4;0;2;4;4;1;4;0;4;4;4;3;4;4;4;4;1
3;3;3;2;3;1;1;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;3;3;2;3;3;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;4;3;3;4;3;4;3;1
2;2;3;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;2;2;3;2;2;2;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;1
3;3;3;3;3;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
4;3;3;3;3;1;4;0;4;3;3;3;3;4;3;3;3;3;3;3;3;3;2;2;2;2;3;2;2;2;2;4;3;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1
3;2;3;2;3;2;1;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;2;3;4;3;4;3;4;3;4;3;4;3;3;3;4;3;4;3;4;3;3;4;3;4;3;1
4;4;3;3;4;0;4;2;4;4;3;4;4;4;4;4;4;4;4;4;0;0;2;4;4;4;4;1;1;0;4;2;0;0;0;0;3;0;4;4;4;4;4;4;4;2;4;4;3;4;4;1;1;0;1
3;2;4;3;3;2;3;2;2;3;4;3;2;3;1;3;3;3;3;4;2;1;0;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;4;4;3;0;0;0;0;0;3;3;3;3;3;3;3;1
2;2;2;3;2;3;2;1;3;2;1;2;2;2;3;3;3;3;3;2;2;1;1;3;3;3;2;3;2;2;3;3;3;3;3;3;3;3;4;4;4;4;3;4;2;2;3;3;2;1;1;2;2;2;1
3;2;4;3;3;2;3;2;2;3;4;3;2;2;1;3;3;3;3;4;2;1;0;2;2;2;2;2;2;3;3;3;3;3;3;3;4;4;4;4;3;0;0;3;0;0;0;3;3;3;3;3;3;3;1
4;2;4;2;1;2;3;1;1;3;3;3;2;2;3;2;2;3;3;2;2;2;2;3;4;4;3;3;3;4;4;4;2;2;0;0;4;3;4;4;3;1;1;4;1;2;1;3;3;3;3;1;1;1;1
2;0;2;4;2;2;4;3;4;3;2;3;3;0;4;4;3;3;3;2;2;1;2;0;0;0;0;0;2;2;3;3;3;3;3;3;3;3;1;3;2;3;3;4;4;2;3;2;2;3;3;4;2;2;1
4;4;3;3;2;0;2;4;4;3;4;3;4;3;4;4;4;3;3;3;2;3;3;3;3;3;1;3;3;2;3;3;3;4;4;4;4;4;4;4;4;2;2;3;2;2;2;2;2;3;3;3;3;4;1
